,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,3.98570470942324e-11,0.00011040336024706805
1,2MASS J00040288-6410358,192.0,1.5776747808133663e-11,0.00018177522949769904
2,2MASS J00242463-0158201,37.7,6.55980566759242e-11,0.00012155521481748011
3,2MASS J00274197+0503417,236.0,2.574100958169177e-11,0.00016058670581391716
4,2MASSW J0030300-145033,87.2,4.483917798101147e-11,0.00010928817479002581
5,2MASS J00332386-1521309 [de],131.0,2.408029928609875e-11,0.00015947152035687494
6,2MASS J00345157+0523050,31.0,3.487491620745336e-11,0.00010482743296185688
7,2MASS 0036+1821,28.6,3.487491620745336e-11,0.00010482743296185688
8,2MASSW J0045214+163445,57.0,1.9098168399319696e-11,0.00018066004404065683
9,WISEP J004701.06+680352.1 [fr],40.0,9.964261773558102e-12,0.00014497410941534646
10,2MASS J00501994-3322402 [de],34.0,3.3214205911860344e-11,0.00010482743296185688
11,2MASS J00584253-0651239 [de],96.0,2.408029928609875e-11,0.00015947152035687494
12,2MASSI J0103320+193536,70.0,4.317846768541845e-11,0.00010928817479002581
13,SDSSp J010752.33+004156.1 [de],51.0,4.317846768541845e-11,0.00010928817479002581
14,2MASSI J0117474-340325 [de],163.0,1.6607102955930172e-11,0.00018066004404065683
15,2MASS J01415823-4633574 [de],130.0,1.6607102955930172e-11,0.00017954485858362484
16,SDSS J015141.69+124429.6,70.0,3.90266919464359e-11,0.00010817298933298359
17,SDSS J020742.48+000056.2 [de],111.0,3.90266919464359e-11,0.00010817298933298359
18,2MASS J02103857-3015313,101.0,1.245532721694763e-11,0.00017062337492728698
19,2MASS J02340093-6442068,155.0,1.6607102955930172e-11,0.00018066004404065683
20,2MASS J02411151-0326587 [de],152.0,2.2419588990505734e-11,0.00015724114944280074
21,2MASS J02431371−2453298,35.0,2.740171987728478e-11,0.00011040336024706805
22,LP 771-21,53.0,6.476770152812766e-11,0.00012044002936043787
23,Teegarden's star,12.578,6.642841182372069e-11,0.00014162855304421975
24,2MASS J02535980+3206373,184.0,5.3973084606773064e-11,0.00021188523683780852
25,WISE J0254+0223,24.0,5.3973084606773064e-11,0.00021188523683780852
26,DEN 0255-4700,16.2,6.642841182372069e-11,0.00010817298933298359
27,2MASS J03185403-3421292 [de],45.0,4.068740224202893e-11,0.00010817298933298359
28,2MASS J03205965+1854233,47.0,7.307125300609275e-11,0.00012824632755972323
29,2MASS J03231002-4631237,192.0,1.9098168399319696e-11,0.00018512078586882573
30,SDSS J032553.17+042540.1,59.0,3.736598165084289e-11,0.00010594261841889912
31,2MASS J03264225-2102057 [de],80.0,1.4946392660337157e-11,0.00014497410941534646
32,2MASS J03284265+2302051 [de],98.0,4.483917798101147e-11,0.00010928817479002581
33,2MASS J03341218-4953322,27.0,6.061592578914512e-11,0.00011597928753226895
34,LP 944-20,20.9,6.061592578914512e-11,0.00015947152035687494
35,2MASP J0345432+254023,88.0,6.144628093694164e-11,0.00011709447298931117
36,Teide 1,380.0,4.566953312880797e-11,0.0004215401027615531
37,2MASS J03510004-0052452,48.0,8.469622507524386e-11,0.00014162855304421975
38,2MASS J03552337+1133437,29.8,1.6607102955930172e-11,0.00014720448032942064
39,2MASS J04151954−0935066,18.6,2.4910654433895258e-11,0.00010594261841889912
40,2MASS J04285096-2253227 [de],85.0,6.642841182372069e-11,0.00012155521481748011
41,2MASS J04351612-1606574,34.0,8.303551477965088e-11,0.0001405133675871775
42,2MASS J04362788-4114465,142.0,3.238385076406383e-11,0.00021969153503710416
43,2MASS J04390101-2353083 [de],29.5,3.98570470942324e-11,0.00010817298933298359
44,2MASS J04433764+0002040,82.0,1.8267813251523187e-11,0.00019850301135332227
45,2MASS J04455387-3048204 [de],42.0,5.3142729458976565e-11,0.00011151854570411029
46,2MASS J04510093-3402150 [de],69.0,5.978557064134863e-11,0.00011597928753226895
47,2MASS J05002100+0330501 [de],44.0,5.3142729458976565e-11,0.00011151854570411029
48,2MASS J05012406-0010452 [de],64.0,1.743745810372668e-11,0.00015389559307167405
49,2MASS J05160945-0445499 [de],73.0,3.90266919464359e-11,0.00010817298933298359
50,2MASS J0523−1403,40.0,5.64641500501626e-11,0.00011263373116115251
51,SDSS J053951.99-005902.0,41.62,5.065166401558703e-11,0.00011263373116115251
52,LSR 0602+3910 [de],34.6,2.3249944138302247e-11,0.00015724114944280074
53,2MASS J06085283-2753583,102.0,3.155349561626733e-11,0.0001683930040132025
54,2MASS J06244595-4521548 [de],39.0,4.6499888276604487e-11,0.00011040336024706805
55,2MASS J06411840-4322329 [de],65.0,5.563379490236608e-11,0.00011263373116115251
56,DENIS-P J0652197-253450 [de],51.0,6.227663608473815e-11,0.00011709447298931117
57,2MASS J07075327-4900503,60.0,5.978557064134863e-11,0.00011486410207523698
58,UGPS J072227.51-054031.2,13.4,2.1589233842709226e-11,0.00010928817479002581
59,2MASSI J0727182+171001 [de],29.6,3.4044561059656856e-11,0.00010482743296185688
60,2MASS J07290002-3954043 [de],25.8,3.072314046847083e-11,0.00010482743296185688
61,SDSS J074201.41+205520.5 [de],49.0,3.5705271355249874e-11,0.00010482743296185688
62,DENIS-P J0751164-253043 [de],55.0,5.89552154935521e-11,0.00011486410207523698
63,2MASS J07522390+1612157,60.0,5.64641500501626e-11,0.0002241522768652628
64,DENIS J081730.0-615520,16.1,3.653562650304637e-11,0.00010482743296185688
65,2MASS J08251968+2115521 [de],35.0,4.317846768541845e-11,0.00010928817479002581
66,SDSSp J083008.12+482847.4 [de],43.0,3.98570470942324e-11,0.00011040336024706805
67,LHS 2021,55.0,7.307125300609275e-11,0.00012824632755972323
68,SDSS J083048.80+012831.1 [de],77.0,3.81963367986394e-11,0.00010705780387594135
69,2MASSI J0835425-081923 [de],23.53,5.148201916338354e-11,0.00011151854570411029
70,2MASSI J0847287-153237 [de],43.0,5.3142729458976565e-11,0.00011151854570411029
71,2MASS J08533619-0329321,27.6,6.393734638033116e-11,0.00011932484390339563
72,2MASSI J0859254-194926 [de],50.0,4.151775738982544e-11,0.00010928817479002581
73,2MASSI J0937347+293142,20.0,3.487491620745336e-11,0.00010482743296185688
74,2MASS 0939−2448,17.4,2.6571364729488273e-11,0.00010594261841889912
75,2MASS J09490860-1545485 [de],59.0,4.068740224202893e-11,0.00010705780387594135
76,2MASS J10073369-4555147,46.0,3.653562650304637e-11,0.00010482743296185688
77,2MASSI J1010148-040649 [de],55.0,4.234811253762193e-11,0.00010928817479002581
78,2MASS J10224821+5825453 [de],60.0,2.2419588990505734e-11,0.00015724114944280074
79,2MASSW J1036530-344138 [de],53.0,4.068740224202893e-11,0.00010817298933298359
80,2MASS J1047538+212423 [de],34.4,3.487491620745336e-11,0.00010482743296185688
81,DEN 1048-3956,13.15,6.393734638033116e-11,0.00011932484390339563
82,Luhman 16B,6.516,3.5705271355249874e-11,0.00011374891661819475
83,Luhman 16A,6.516,3.3214205911860344e-11,0.00011263373116115251
84,DENIS-P J1058.7−1548,49.0,5.3142729458976565e-11,0.00011151854570411029
85,TWA 28,180.0,2.9892785320674315e-11,0.00026652932423282656
86,Cha 110913-773444,163.0,6.642841182372068e-12,0.00020073338226739645
87,SDSS J111010.01+011613.1,63.0,7.473196330168579e-12,0.00013828299667309306
88,2MASS J11145133−2618235,18.2,2.740171987728478e-11,0.00010705780387594135
89,TWA 26,137.0,2.4910654433895258e-11,0.0002453408005490447
90,2MASS J11544223-3400390 [de],129.0,3.072314046847083e-11,0.00016727781855617056
91,2MASSW J1155395-372735 [de],31.0,5.3142729458976565e-11,0.00011151854570411029
92,2MASS J12074836-3900043,217.0,1.4116037512540648e-11,0.00019069671315402663
93,2MASSI J1217110-031113 [de],36.0,3.487491620745336e-11,0.00010482743296185688
94,2M 1237+6526,45.6,3.4044561059656856e-11,0.00010482743296185688
95,TWA 29,262.0,2.075887869491272e-11,0.00022303709140822058
96,SDSSp J125453.90-012247.4 [de],38.0,3.90266919464359e-11,0.00010928817479002581
97,Kelu-1A,61.0,5.231237431118005e-11,0.00010928817479002581
98,Kelu-1B,61.0,4.81605985721975e-11,0.00010928817479002581
99,2MASS J13204427+0409045,101.0,5.563379490236608e-11,0.00011263373116115251
100,SDSSp J132629.82-003831.5 [de],65.0,4.234811253762193e-11,0.00010817298933298359
101,SDSSp J134646.45-003150.4 [de],48.0,3.653562650304637e-11,0.00010482743296185688
102,2MASS J13595510-4034582,51.0,5.231237431118005e-11,0.00011151854570411029
103,ULAS J141623.94+134836.3,29.7,2.6571364729488273e-11,0.00010705780387594135
104,SDSS J141659.78+500626.4 [de],149.0,4.8990953719994e-11,0.00011040336024706805
105,DENIS-P J142527.97-365023.4 [de],38.0,1.743745810372668e-11,0.00014720448032942064
106,LHS 2924,38.5,6.310699123253465e-11,0.00011820965844635341
107,2MASS J14392837+1929150,47.0,5.978557064134863e-11,0.00011486410207523698
108,LSPM J1440+1339,72.0,7.63926735972788e-11,0.00013270706938789216
109,2MASS J14482563+1031590 [de],47.0,4.8990953719994e-11,0.00011040336024706805
110,CFBDSIR 1458+10A,104.0,9.216942140541247e-12,0.00016727781855617056
111,CFBDSIR 1458+10B,104.0,7.473196330168579e-12,0.00014497410941534646
112,TVLM 513-46546,35.1,6.227663608473815e-11,0.00011709447298931117
113,2MASS 1503+2525,20.7,3.653562650304637e-11,0.00010482743296185688
114,CFBDS J150411+102717,71.0,3.653562650304637e-11,0.00010482743296185688
115,2MASSW J1506544+132106 [de],46.0,5.72945051979591e-11,0.00011374891661819475
116,2MASS 1507−1627,23.9,4.982130886779052e-11,0.00011040336024706805
117,TVLM 868-110639,53.0,6.55980566759242e-11,0.00012044002936043787
118,2MASSW J1515008+484742 [de],34.0,4.7330243424401e-11,0.00011040336024706805
119,2MASSI J1526140+204341 [de],67.0,4.483917798101147e-11,0.00010928817479002581
120,DENIS-P J153941.96-052042.4 [de],51.0,5.231237431118005e-11,0.00011151854570411029
121,2MASS J15462718-3325111 [de],37.0,3.653562650304637e-11,0.00010482743296185688
122,2MASSW J1552591+294849 [de],68.0,2.4910654433895258e-11,0.00015947152035687494
123,2MASSW J1555157-095605 [de],44.0,5.89552154935521e-11,0.00011486410207523698
124,2MASS J16150413+1340079 [de],48.0,3.487491620745336e-11,0.00010482743296185688
125,SDSSp J162414.37+002915.6 [de],36.0,3.5705271355249874e-11,0.00010482743296185688
126,2MASS J16262034+3925190 [de],110.0,5.89552154935521e-11,0.00011486410207523698
127,2MASSW J1632291+190441 [de],50.0,4.068740224202893e-11,0.00010817298933298359
128,WISEPA J164715.59+563208.2,28.0,3.4044561059656856e-11,0.00010482743296185688
129,LSPM J1658+7027 [de],60.0,6.061592578914512e-11,0.00011597928753226895
130,2MASSI J1726000+153819,114.0,1.99285235471162e-11,0.0001561259639857585
131,SDSSp J175032.96+175903.9,90.0,3.90266919464359e-11,0.00010817298933298359
132,2MASS J18283572-4849046,39.0,3.736598165084289e-11,0.00010594261841889912
133,LSR J1835+3259,18.5,6.393734638033116e-11,0.00011932484390339563
134,2MASSW J1841086+311727,138.0,5.563379490236608e-11,0.00011263373116115251
135,2MASS J18432213+4040209,46.0,7.971409418846483e-11,0.00013605262575901885
136,2MASS J20004841-7523070,105.0,2.075887869491272e-11,0.0002096548659237343
137,SDSS J204749.61-071818.3,65.0,3.81963367986394e-11,0.00010705780387594135
138,2MASSI J2057540-025230,47.0,5.812486034575561e-11,0.00011374891661819475
139,2MASSI J2104149-103736,62.0,5.72945051979591e-11,0.00011374891661819475
140,PSO J318.5−22,80.0,5.397308460677306e-12,0.00017062337492728698
141,HB 2124-4228,113.0,7.80533838928718e-11,0.0001349374403019766
142,2MASS J21392676+0220226,32.1,3.81963367986394e-11,0.00010705780387594135
143,2MASS J21481628+4003593,26.3,4.566953312880797e-11,0.00011040336024706805
144,2MASSW J2206450-421721,93.0,1.8267813251523187e-11,0.00014831966578646288
145,2MASSW J2208136+292121,154.0,2.2419588990505734e-11,0.00015724114944280074
146,2MASSW J2224438-015852,38.0,5.065166401558703e-11,0.00011040336024706805
147,2MASS J22282889-4310262,35.0,3.487491620745336e-11,0.00010482743296185688
148,2MASS J22373255+3922398,64.0,6.061592578914512e-11,0.00011597928753226895
149,2MASSW J2244316+204343,56.0,9.964261773558102e-12,0.00014385892395830423
150,2MASS J23224684-3133231,56.0,1.99285235471162e-11,0.0001550107785287163
151,2MASS J23225299-6151275,148.0,1.4116037512540648e-11,0.0001773144876695404
152,2MASS J23515044-2537367,67.0,7.307125300609275e-11,0.00012936151301676547
153,2MASSI J2356547-155310,74.0,6.642841182372069e-11,0.00012155521481748011
154,WISE 0410+1502,20.0,4.982130886779051e-12,0.00013047669847380768
155,WISE 0458+6434A,35.9,1.245532721694763e-11,0.00046837789195727553
156,WISE 0458+6434B,35.9,8.303551477965086e-12,0.0004237704736756273
157,WISE 1405+5534,25.3,2.4910654433895258e-11,9.59059493055293e-05
